FilePath,Severity,Control name,Failed resources,All Resources,Compliance score
path=4226750949/api=apps/v1//DaemonSet/longhorn-nvme-cli-installation,High,Writable hostPath mount,0,1,1.0
path=4226750949/api=apps/v1//DaemonSet/longhorn-nvme-cli-installation,High,Insecure capabilities,0,1,1.0
path=3308100874/api=apps/v1//StatefulSet/argocd-application-controller,High,Writable hostPath mount,0,1,1.0
path=3308100874/api=apps/v1//StatefulSet/argocd-application-controller,High,Insecure capabilities,0,1,1.0
path=2690240655/api=apps/v1/kong/Deployment/ingress-kong,High,Writable hostPath mount,0,1,1.0
path=2690240655/api=apps/v1/kong/Deployment/ingress-kong,High,Insecure capabilities,0,1,1.0
path=1983839431/api=apps/v1/default/Deployment/kubeshark-hub,High,Writable hostPath mount,0,1,1.0
path=1983839431/api=apps/v1/default/Deployment/kubeshark-hub,High,Insecure capabilities,0,1,1.0
path=1042013963/api=apps/v1//Deployment/tcp-echo,High,Writable hostPath mount,0,1,1.0
path=1042013963/api=apps/v1//Deployment/tcp-echo,High,Insecure capabilities,0,1,1.0
path=1737241944/api=apps/v1/monitoring/Deployment/grafana,High,Writable hostPath mount,0,1,1.0
path=1737241944/api=apps/v1/monitoring/Deployment/grafana,High,Insecure capabilities,0,1,1.0
path=3563192003/api=apps/v1//Deployment/details-v1,High,Writable hostPath mount,0,1,1.0
path=3563192003/api=apps/v1//Deployment/details-v1,High,Insecure capabilities,0,1,1.0
path=3382082383/api=/v1//Pod/ray-pod,High,Writable hostPath mount,0,1,1.0
path=3382082383/api=/v1//Pod/ray-pod,High,Insecure capabilities,0,1,1.0
path=1912436403/api=apps/v1/system/Deployment/controller-manager-v5,High,Writable hostPath mount,0,1,1.0
path=1912436403/api=apps/v1/system/Deployment/controller-manager-v5,High,Insecure capabilities,0,1,1.0
path=2036597503/api=apps/v1/kuma-system/StatefulSet/controller-manager,High,Writable hostPath mount,0,1,1.0
path=2036597503/api=apps/v1/kuma-system/StatefulSet/controller-manager,High,Insecure capabilities,0,1,1.0
path=2442003545/api=apps/v1/litmus/Deployment/chaos-exporter,High,Writable hostPath mount,0,1,1.0
path=2442003545/api=apps/v1/litmus/Deployment/chaos-exporter,High,Insecure capabilities,0,1,1.0
path=1203558909/api=apps/v1//Deployment/db,High,Writable hostPath mount,0,1,1.0
path=1203558909/api=apps/v1//Deployment/db,High,Insecure capabilities,0,1,1.0
path=3956158815/api=apps/v1/argocd/Deployment/argocd-redis-ha-haproxy,High,Writable hostPath mount,0,1,1.0
path=3956158815/api=apps/v1/argocd/Deployment/argocd-redis-ha-haproxy,High,Insecure capabilities,0,1,1.0
path=732073767/api=apps/v1//Deployment/argocd-dex-server,High,Writable hostPath mount,0,1,1.0
path=732073767/api=apps/v1//Deployment/argocd-dex-server,High,Insecure capabilities,0,1,1.0
path=1858467274/api=apps/v1//Deployment/reviews-v3,High,Writable hostPath mount,0,1,1.0
path=1858467274/api=apps/v1//Deployment/reviews-v3,High,Insecure capabilities,0,1,1.0
path=2357359927/api=apps/v1//Deployment/argocd-server,High,Writable hostPath mount,0,1,1.0
path=2357359927/api=apps/v1//Deployment/argocd-server,High,Insecure capabilities,0,1,1.0
path=2538277891/api=apps/v1//Deployment/ratings-v1,High,Writable hostPath mount,0,1,1.0
path=2538277891/api=apps/v1//Deployment/ratings-v1,High,Insecure capabilities,0,1,1.0
path=3248929363/api=apps/v1/kube-system/Deployment/metrics-server,High,Writable hostPath mount,0,1,1.0
path=3248929363/api=apps/v1/kube-system/Deployment/metrics-server,High,Insecure capabilities,0,1,1.0
path=64686758/api=apps/v1/kube-system/Deployment/debug-driver,High,Writable hostPath mount,1,1,0.0
path=64686758/api=apps/v1/kube-system/Deployment/debug-driver,High,Insecure capabilities,0,1,1.0
path=1060444381/api=apps/v1//Deployment/argocd-repo-server,High,Writable hostPath mount,0,1,1.0
path=1060444381/api=apps/v1//Deployment/argocd-repo-server,High,Insecure capabilities,0,1,1.0
path=471105853/api=apps/v1//Deployment/helloworld-v1,High,Writable hostPath mount,0,1,1.0
path=471105853/api=apps/v1//Deployment/helloworld-v1,High,Insecure capabilities,0,1,1.0
path=3434598328/api=batch/v1//Job/,High,Writable hostPath mount,0,1,1.0
path=3434598328/api=batch/v1//Job/,High,Insecure capabilities,0,1,1.0
path=471677193/api=apps/v1/sock-shop/Deployment/orders,High,Writable hostPath mount,0,1,1.0
path=471677193/api=apps/v1/sock-shop/Deployment/orders,High,Insecure capabilities,0,1,1.0
